claim_id,product_id,product_name,product_category,brand,model_number,serial_number_entered,serial_number_on_receipt,serial_number_on_warranty_card,purchase_date,purchase_price,retailer,warranty_start,warranty_end,warranty_provider,warranty_type,fault_date,claim_submission_date,fault_type,fault_description,damage_type,product_age_months,remaining_warranty_days,repair_history_count,previous_repair_authorized,receipt_uploaded,warranty_card_uploaded,product_image_uploaded,fault_evidence_uploaded,repair_report_uploaded,missing_doc_count,serial_mismatch_flag,date_contradiction_flag,excluded_damage,duplicate_claim_flag,class_label
CLM-00348,PRD-38019,Galaxy Ultra Smartphone,Electronics,HP,HP-ELE-109,SNHP434064,SNHP434064,SNHP434064,2024-12-23,1124.19,B&H Photo,2024-12-23,2026-12-23,HP Care Protection,Standard,2026-08-20,2026-08-22,Cosmetic Damage,Slight dent on exterior casing from transit handling.,Cosmetic Damage,19,125,0,True,True,True,True,True,False,0,False,False,True,False,Likely Invalid
CLM-01701,PRD-13631,Convection Microwave Oven,Appliances,Samsung,SAM-APP-723,SNSA988168,SNSA988168,SNSA988168,2023-07-20,396.86,Lowe's,2023-07-20,2026-07-19,Samsung Care Protection,Standard,2027-01-01,2027-01-07,Manufacturing Defect,Device shut down unexpectedly and fails to power back on under normal conditions.,Manufacturing,41,-166,0,True,True,True,True,True,False,0,False,False,False,False,Likely Invalid
CLM-00239,PRD-59239,French Door Refrigerator,Appliances,Maytag,MAY-APP-199,SNMA321321,SNMA321321,SNMA321321,2025-03-18,1694.29,Home Depot,2025-03-18,2028-03-17,Maytag Care Protection,Standard,2027-01-08,2027-01-16,Compressor Failure,"Cooling cycle fails to start, compressor is non-responsive.",Manufacturing,21,434,0,True,True,True,True,True,False,0,False,False,False,False,Likely Valid
CLM-00229,PRD-66019,ProBook Laptop 15-inch,Electronics,Lenovo,LEN-ELE-939,SNLE932106,SNLE932106,SNLE932106,2023-05-10,886.38,Target,2023-05-10,2025-05-09,Lenovo Care Protection,Standard,2024-12-10,2024-12-13,Display Defect,Vertical colored line artifacts appeared across OLED panel without impact.,Manufacturing,19,150,3,True,True,True,True,True,True,0,False,False,False,False,Manual Review Required
CLM-01058,PRD-87864,ProBook Laptop 15-inch,Electronics,Asus,ASU-ELE-945,SNAS897286,SNAS897286,SNAS897286,2024-03-07,860.63,Direct Manufacturer Store,2024-03-07,2026-03-07,Asus Care Protection,Standard,2025-05-23,2025-05-26,Display Defect,Vertical colored line artifacts appeared across OLED panel without impact.,Manufacturing,14,288,0,True,True,True,True,True,False,0,False,False,False,False,Likely Valid
CLM-00686,PRD-22108,French Door Refrigerator,Appliances,LG,LG-APP-878,SNLG339683,SNLG339683,SNLG339683,2025-05-08,1417.58,Lowe's,2025-05-08,2028-05-07,LG Care Protection,Standard,2025-11-16,2025-11-25,Compressor Failure,"Cooling cycle fails to start, compressor is non-responsive.",Manufacturing,6,903,0,True,False,True,True,True,False,1,False,False,False,False,Likely Invalid
CLM-01081,PRD-73432,Front-Load Washing Machine,Appliances,LG,LG-APP-715,SNLG724223,SNLG724223,SNLG724223,2024-03-02,1041.47,Costco,2024-03-02,2027-03-02,LG Care Protection,Standard,2026-06-30,2026-07-14,Compressor Failure,"Cooling cycle fails to start, compressor is non-responsive.",Unauthorized Modification,27,245,2,False,True,True,True,True,False,1,False,False,True,False,Likely Invalid
CLM-01255,PRD-21799,Heavy-Duty Starter Motor,Automotive,Continental Auto,CON-AUT-320,SNCO527632,SNCO527632,SNCO527632,2023-08-31,283.05,RockAuto,2023-08-31,2024-08-30,Continental Auto Care Protection,Standard,2024-02-18,2024-02-24,Premature Wear,Bushing cracked prematurely during regular non-commercial transit.,Manufacturing,5,194,0,True,True,False,True,True,False,1,False,False,False,False,Likely Valid
CLM-01641,PRD-23349,Active Noise Cancelling Headphones,Electronics,LG,LG-ELE-884,SNLG552889,SNLG552889,SNLG552889,2024-06-06,298.15,Target,2024-06-06,2027-06-06,AssureX Extended Guard,Extended,2026-06-17,2026-06-20,Electrical Failure,Capacitor blown on the primary controller board without power surge.,Electrical,24,354,0,True,True,True,True,True,False,0,False,False,False,False,Likely Valid
CLM-01467,PRD-26392,High Output Alternator,Automotive,ACDelco,ACD-AUT-107,SNAC661167,SNAC661167,SNAC661167,2023-01-13,413.59,NAPA Auto Parts,2023-01-13,2025-01-12,AssureX Extended Guard,Extended,2024-05-27,2024-06-10,Premature Wear,Bushing cracked prematurely during regular non-commercial transit.,Manufacturing,16,230,0,True,True,True,True,True,False,0,False,False,False,False,Likely Valid
CLM-01946,PRD-90692,Gaming Desktop Rig,Electronics,LG,LG-ELE-352,SNLG249239,SNLG249239,SNLG249239,2023-05-19,1986.54,B&H Photo,2023-05-19,2025-05-18,LG Care Protection,Standard,2024-12-09,2024-12-15,Water Damage,Liquid spilled directly into top vents while device was operating.,Water Damage,18,160,0,True,True,True,True,True,False,0,False,False,True,False,Likely Invalid
CLM-00998,PRD-39732,Active Noise Cancelling Headphones,Electronics,Dell,DEL-ELE-251,SNDE277184,SNDE277184,SNDE277184,2023-10-23,254.89,Target,2023-10-23,2025-10-22,Dell Care Protection,Standard,2024-02-09,2024-02-14,Software Malfunction,Main OS freezes on start screen; hardware diagnostic passes.,Manufacturing,3,621,0,True,True,True,True,True,False,0,False,False,False,False,Likely Valid
CLM-02405,PRD-20228,Gaming Desktop Rig,Electronics,LG,LG-ELE-578,SNLG796652,SNLG796652,SNLG796652,2024-09-08,1730.47,Amazon Electronics,2024-09-08,2026-09-08,LG Care Protection,Standard,2024-10-24,2024-11-07,Unauthorized Modification,Unspecified system degradation observed during normal operating routine.,Unauthorized Modification,1,684,0,True,True,True,True,True,False,0,False,False,True,False,Likely Invalid
CLM-01335,PRD-45036,French Door Refrigerator,Appliances,LG,LG-APP-772,SNLG423761,SNLG423726,SNLG423761,2025-03-22,1402.68,Costco,2025-03-22,2028-03-21,LG Care Protection,Standard,2025-04-28,2025-05-07,Electrical Wiring Defect,Unspecified system degradation observed during normal operating routine.,Manufacturing,1,1058,0,True,True,True,True,True,False,0,True,False,False,False,Manual Review Required
CLM-02073,PRD-61851,Ceramic Brake Pad Set,Automotive,Bosch Auto,BOS-AUT-461,SNBO453710,SNBO453710,SNBO453710,2025-01-14,105.22,Advance Auto Parts,2025-01-14,2027-01-14,AssureX Extended Guard,Extended,2025-09-13,2025-09-24,Material Failure,Unspecified system degradation observed during normal operating routine.,Manufacturing,7,488,0,True,True,True,True,True,False,0,False,False,False,False,Likely Valid
CLM-00152,PRD-85308,Convection Microwave Oven,Appliances,Bosch,BOS-APP-162,SNBO512369,SNBO512369,SNBO512369,2023-03-31,369.18,Lowe's,2023-03-31,2026-03-30,Bosch Care Protection,Standard,2024-11-13,2024-11-20,Control Board Failure,Unspecified system degradation observed during normal operating routine.,Manufacturing,19,502,0,True,True,True,True,True,False,0,False,False,False,False,Likely Valid
CLM-00388,PRD-67872,Mirrorless Camera Body,Electronics,Sony,SON-ELE-217,SNSO139235,SNSO139235,SNSO139235,2024-08-04,1723.65,BestBuy,2024-08-04,2026-08-04,Sony Care Protection,Standard,2025-07-28,2025-07-30,Jailbreaking or Rooting,Unspecified system degradation observed during normal operating routine.,Jailbreaking or Rooting,11,372,0,True,True,True,True,True,False,0,False,False,True,False,Likely Invalid
CLM-01878,PRD-80888,Tablet 11-inch Display,Electronics,Sony,SON-ELE-661,SNSO912710,SNSO912710,SNSO912710,2023-01-27,812.04,BestBuy,2023-01-27,2025-01-26,Sony Care Protection,Standard,2023-01-11,2023-02-07,Component Failure,Cooling fan bearing seized up leading to emergency thermal shutdown.,Manufacturing,0,746,0,True,True,True,True,True,False,0,False,True,False,False,Manual Review Required
CLM-01163,PRD-65559,French Door Refrigerator,Appliances,Samsung,SAM-APP-418,SNSA740995,SNSA740995,SNSA740995,2023-01-07,1836.14,Direct Factory Outlet,2023-01-07,2026-01-06,Samsung Care Protection,Standard,2023-11-24,2023-11-26,Control Board Failure,Unspecified system degradation observed during normal operating routine.,Unauthorized Modification,10,774,4,False,True,True,True,True,False,1,False,False,True,False,Likely Invalid
CLM-02323,PRD-83417,Smart Dishwasher 24-inch,Appliances,LG,LG-APP-569,SNLG334366,SNLG334366,SNLG334366,2024-07-01,783.25,Sears Appliance Outlet,2024-07-01,2027-07-01,LG Care Protection,Standard,2025-11-15,2025-11-17,Motor Failure,"Motor winding resistance out of spec, causing tripping.",Manufacturing,16,593,0,True,True,True,True,True,False,0,False,False,False,False,Likely Valid
CLM-02185,PRD-37248,ProBook Laptop 15-inch,Electronics,Lenovo,LEN-ELE-859,SNLE804219,SNLE804219,SNLE804219,2025-02-10,878.04,B&H Photo,2025-02-10,2028-02-10,AssureX Extended Guard,Extended,2027-03-23,2027-03-27,Display Defect,Backlight flickering continuously on left half of screen.,Manufacturing,25,324,0,True,True,True,True,True,False,0,False,False,False,False,Likely Valid
