claim_id,product_id,product_name,product_category,brand,model_number,serial_number_entered,serial_number_on_receipt,serial_number_on_warranty_card,purchase_date,purchase_price,retailer,warranty_start,warranty_end,warranty_provider,warranty_type,fault_date,claim_submission_date,fault_type,fault_description,damage_type,product_age_months,remaining_warranty_days,repair_history_count,previous_repair_authorized,receipt_uploaded,warranty_card_uploaded,product_image_uploaded,fault_evidence_uploaded,repair_report_uploaded,missing_doc_count,serial_mismatch_flag,date_contradiction_flag,excluded_damage,duplicate_claim_flag,class_label
CLM-00001,PRD-74553,Electric Range Oven,Appliances,Bosch,BOS-APP-676,SNBO620509,SNBO620509,SNBO620509,2023-10-07,1163.67,Costco,2023-10-07,2026-10-06,Bosch Care Protection,Standard,2024-12-06,2024-12-07,Manufacturing Defect,Device shut down unexpectedly and fails to power back on under normal conditions.,Manufacturing,13,669,0,True,False,True,True,True,False,1,False,False,False,False,Likely Invalid
CLM-00002,PRD-15962,Active Noise Cancelling Headphones,Electronics,Samsung,SAM-ELE-918,SNSA745197,SNSA745197,SNSA745197,2024-06-02,349.89,Target,2024-06-02,2026-06-02,Samsung Care Protection,Standard,2024-07-13,2024-07-24,Water Damage,Liquid spilled directly into top vents while device was operating.,Water Damage,1,689,0,True,True,True,True,True,False,0,False,False,True,False,Likely Invalid
CLM-00003,PRD-24920,Mirrorless Camera Body,Electronics,Samsung,SAM-ELE-407,SNSA631302,SNSA631302,SNSA631302,2024-06-01,1551.5,BestBuy,2024-06-01,2026-06-01,Samsung Care Protection,Standard,2026-02-03,2026-02-13,Manufacturing Defect,Device shut down unexpectedly and fails to power back on under normal conditions.,Unauthorized Modification,20,118,2,False,True,True,True,True,False,1,False,False,True,False,Likely Invalid
CLM-00004,PRD-73110,Smart Watch Series 7,Electronics,HP,HP-ELE-585,SNHP935981,SNHP935981,SNHP935981,2023-08-30,344.83,Amazon Electronics,2023-08-30,2026-08-29,AssureX Extended Guard,Extended,2026-05-03,2026-05-16,Component Failure,Sensor module stopped transmitting readings to the main board.,Manufacturing,32,118,0,True,False,True,True,True,False,1,False,False,False,False,Likely Invalid
CLM-00005,PRD-12453,Electric Range Oven,Appliances,LG,LG-APP-842,SNLG811141,SNLG811141,SNLG811141,2023-11-20,1073.82,Direct Factory Outlet,2023-11-20,2026-11-19,LG Care Protection,Standard,2025-04-29,2025-05-01,Motor Failure,"Motor winding resistance out of spec, causing tripping.",Manufacturing,17,569,0,True,True,True,True,True,False,0,False,False,False,False,Likely Valid
CLM-00006,PRD-34560,Electric Range Oven,Appliances,KitchenAid,KIT-APP-962,SNKI274031,SNKI274031,SNKI274031,2023-07-01,1186.23,Costco,2023-07-01,2026-06-30,KitchenAid Care Protection,Standard,2024-10-29,2024-11-10,Manufacturing Defect,Internal solder joint loosened causing intermittent power disconnects.,Manufacturing,15,609,0,True,True,True,True,True,False,0,False,False,False,False,Likely Valid
CLM-00007,PRD-32939,Electronic Fuel Injector Kit,Automotive,Brembo,BRE-AUT-949,SNBR417329,SNBR417329,SNBR417329,2023-06-24,393.31,O'Reilly Auto,2023-06-24,2024-06-23,Brembo Care Protection,Standard,2024-03-04,2024-03-05,Premature Wear,"Brake pad friction compound deteriorated within 2,000 miles of highway driving.",Manufacturing,8,111,1,True,True,True,True,True,True,0,False,False,False,False,Likely Valid
CLM-00008,PRD-50679,Active Noise Cancelling Headphones,Electronics,Apple,APP-ELE-448,SNAP606957,SNAP606957,SNAP606957,2024-05-23,320.03,Direct Manufacturer Store,2024-05-23,2026-05-23,Apple Care Protection,Standard,2026-10-22,2026-10-28,Electrical Failure,Capacitor blown on the primary controller board without power surge.,Manufacturing,28,-152,0,True,True,True,True,True,False,0,False,False,False,False,Likely Invalid
CLM-00009,PRD-21413,Galaxy Ultra Smartphone,Electronics,Lenovo,LEN-ELE-104,SNLE426087,SNLE426087,SNLE426087,2024-06-01,1221.71,Direct Manufacturer Store,2024-06-01,2027-06-01,AssureX Extended Guard,Extended,2027-06-02,2027-06-07,Software Malfunction,System firmware entered boot loop following manufacturer OTA update.,Manufacturing,36,-1,0,True,True,True,True,True,False,0,False,False,False,False,Manual Review Required
CLM-00010,PRD-79766,Active Noise Cancelling Headphones,Electronics,LG,LG-ELE-428,SNLG310297,SNLG310297,SNLG310297,2024-05-10,259.57,B&H Photo,2024-05-10,2027-05-10,AssureX Extended Guard,Extended,2025-02-18,2025-02-23,Electrical Failure,Internal circuit shorted during regular use with standard power supply.,Electrical,9,811,0,True,True,True,True,True,False,0,False,False,False,False,Likely Valid
CLM-00011,PRD-28554,Active Noise Cancelling Headphones,Electronics,Samsung,SAM-ELE-655,SNSA467335,SNSA467335,SNSA467335,2024-03-16,299.53,B&H Photo,2024-03-16,2026-03-16,Samsung Care Protection,Standard,2024-06-26,2024-07-01,Unauthorized Modification,Unspecified system degradation observed during normal operating routine.,Unauthorized Modification,3,628,0,True,True,True,True,True,False,0,False,False,True,False,Likely Invalid
CLM-00012,PRD-23884,Front-Load Washing Machine,Appliances,Whirlpool,WHI-APP-129,SNWH593602,SNWH593602,SNWH593602,2024-08-18,1029.62,Home Depot,2024-08-18,2027-08-18,Whirlpool Care Protection,Standard,2025-04-27,2025-05-04,Thermostat Malfunction,"Thermostat stuck open, temperature never reaches target threshold.",Manufacturing,8,843,1,True,True,True,True,True,True,0,False,False,False,False,Likely Valid
